Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
92,58.3952,187,3784,3269,204,3082,0,2,3,5,152,8,0,0,1,374,0,4,0,20,OK
93,2.9262,109,425,111,109,2,0,0,0,2,5,0,1,0,21,0,0,2,0,24,OK
94,1.9472,121,379,121,121,0,0,0,0,7,4,0,0,1,2,0,0,2,0,3,OK
95,5.1312,118,564,346,118,228,0,1,0,7,19,2,1,1,9,3,0,8,0,5,OK
96,4.3179,155,637,161,155,6,0,1,0,2,7,1,0,3,8,0,0,4,0,41,OK
97,4.3131,155,578,179,155,24,0,4,0,4,7,4,2,0,11,0,0,3,0,21,OK
98,1.9487,120,349,120,120,0,0,0,0,6,4,2,2,0,5,0,0,3,0,1,OK
99,3.0801,113,389,115,113,2,0,0,0,5,3,1,3,0,10,0,0,2,0,15,OK
100,3.6337,117,491,232,117,115,0,0,0,7,0,2,0,0,4,1,0,2,0,68,OK
101,3.2136,146,462,146,146,0,0,0,0,4,5,6,1,3,6,1,0,4,0,12,OK
102,3.9713,113,458,113,113,0,0,0,0,0,2,0,2,5,15,4,0,10,0,87,OK
103,2.7861,123,381,123,123,0,0,0,0,3,12,3,3,4,4,2,0,6,0,2,OK
104,2.3055,90,428,90,90,0,0,0,0,1,0,0,2,0,8,10,0,2,0,0,OK
105,2.7024,127,380,127,127,0,0,0,0,6,7,1,1,0,2,1,0,4,0,4,OK
106,8.2562,117,836,634,117,517,0,0,0,3,4,2,1,0,3,3,0,2,0,3,OK
107,26.8285,119,1973,1715,119,1596,0,28,0,3,4,6,2,0,10,9,0,3,0,0,OK
108,5.4066,159,647,214,159,55,0,7,0,2,16,1,0,0,12,4,0,2,0,0,OK
109,1.76,109,289,109,109,0,0,0,0,1,1,3,1,2,8,0,0,2,0,0,OK
110,8.2002,129,853,640,129,511,0,1,0,6,4,6,0,0,1,0,0,2,0,12,OK
111,7.1615,125,774,479,125,354,0,4,0,7,12,8,2,1,11,6,0,5,0,22,OK
112,7.6774,115,827,565,115,450,0,0,0,2,20,0,4,0,7,2,0,4,0,12,OK
113,2.878,108,388,108,108,0,0,0,0,2,2,0,1,0,19,0,0,3,0,69,OK
114,255.7219,113,13178,12849,279,12736,0,457,0,1,732,43,0,1,61,470,0,4,0,278,OK
115,2.2547,109,328,127,109,18,0,0,0,4,1,0,2,0,4,0,0,2,0,7,OK
116,3.5638,100,470,100,100,0,0,0,0,2,1,0,3,0,6,1,0,4,0,25,OK
117,4.8398,150,671,387,150,237,0,6,0,3,42,2,1,0,1,2,0,2,0,5,OK
118,12.1369,117,1028,776,117,659,0,0,0,11,3,1,1,0,0,6,0,2,0,6,OK
119,2.7614,119,414,187,119,68,0,0,0,1,3,3,2,1,0,0,0,7,0,6,OK
120,5.167,116,507,201,116,85,0,0,0,4,2,0,2,0,3,1,0,5,0,4,OK
121,3.0705,121,487,121,121,0,0,0,0,4,4,0,2,5,8,10,0,8,0,21,OK
122,1.7855,135,333,137,135,2,0,0,0,6,1,6,4,0,0,3,0,4,0,4,OK
123,1.6939,110,331,110,110,0,0,0,0,4,0,0,0,0,7,2,0,2,0,17,OK
124,17.1286,233,1518,937,233,704,0,1,0,3,13,5,0,0,20,93,0,2,0,14,OK
125,3.2154,102,312,102,102,0,0,0,0,3,9,2,0,1,1,0,0,2,0,0,OK
126,3.8306,116,550,172,116,56,0,0,0,3,5,1,3,0,11,12,0,4,0,12,OK
127,11.7198,113,1087,863,113,750,0,17,0,1,57,1,0,1,6,4,0,4,0,17,OK
128,2.7897,115,433,124,115,9,0,2,0,2,10,2,0,0,7,0,0,2,0,21,OK
129,2.6453,122,400,122,122,0,0,0,0,1,13,2,2,2,1,0,0,4,0,15,OK
130,4.7301,149,558,201,149,52,0,4,0,2,9,2,0,0,1,0,0,2,0,27,OK
131,3.1588,112,443,199,112,87,0,1,0,0,5,0,3,1,9,7,0,5,0,9,OK
132,1.9985,127,417,127,127,0,0,0,0,5,11,1,4,2,9,9,0,6,0,23,OK
133,2.5597,127,406,131,127,4,0,0,0,2,5,2,1,4,4,3,0,6,0,10,OK
134,1.9936,106,322,106,106,0,0,0,0,5,3,0,2,0,10,0,0,4,0,35,OK
135,2.4717,132,400,132,132,0,0,2,0,5,5,3,1,1,3,3,0,3,0,3,OK
136,3.9967,95,431,95,95,0,0,0,0,1,1,0,0,1,9,0,0,2,0,125,OK
137,2.2139,113,378,113,113,0,0,0,0,5,17,2,3,0,3,0,0,4,0,0,OK
138,2.8573,114,370,114,114,0,0,0,0,1,14,5,1,1,4,2,0,4,0,3,OK
139,5.6285,156,632,156,156,0,0,2,0,1,0,1,0,0,2,0,0,2,0,30,OK
140,4.3872,119,517,247,119,128,0,2,0,5,0,1,4,1,10,9,0,6,0,83,OK
141,5.5093,145,716,393,145,248,0,5,1,1,29,5,0,1,6,3,0,2,0,15,OK
142,11.5996,271,1154,512,271,241,0,21,0,1,10,7,1,1,4,9,0,2,0,3,OK
143,3.2464,127,448,127,127,0,0,0,0,7,8,1,5,1,2,2,0,4,0,1,OK
144,7.9028,162,832,339,162,177,0,0,0,3,30,2,1,2,6,24,0,2,0,7,OK
145,1.5352,111,298,111,111,0,0,0,0,10,1,0,3,2,1,3,0,4,0,1,OK
146,9.4751,107,731,499,107,392,0,8,0,4,10,2,1,0,6,2,0,2,0,29,OK
147,3.1573,121,446,121,121,0,0,0,0,0,12,4,0,2,7,5,0,8,0,42,OK
148,2.6308,122,375,122,122,0,0,0,0,5,11,1,4,0,3,0,0,3,0,4,OK
149,5.0715,123,522,180,123,57,0,0,0,2,0,2,4,0,6,2,0,3,0,26,OK
150,2.8293,102,362,102,102,0,0,0,0,1,8,0,3,0,26,0,0,5,0,0,OK
151,2.6001,131,421,131,131,0,0,2,0,3,15,2,1,0,4,2,0,2,0,5,OK
152,5.3557,125,578,248,125,123,0,0,0,2,1,2,0,2,7,1,0,8,0,69,OK
153,51.7064,117,3129,2889,117,2772,0,0,0,18,201,7,2,1,22,182,0,5,0,50,OK
154,5.6186,139,610,322,139,183,0,9,0,4,12,0,1,0,5,3,0,6,0,2,OK
155,3.861,111,329,111,111,0,0,0,0,7,11,1,2,0,5,4,0,4,0,4,OK
156,2.8743,98,405,98,98,0,0,0,0,1,3,1,2,0,6,4,0,2,0,28,OK
157,2.8817,153,434,192,153,39,0,2,0,7,3,4,2,1,1,3,0,6,0,6,OK
158,2.828,105,384,108,105,3,0,1,0,1,4,3,1,0,2,0,0,2,0,24,OK
159,4.9928,133,484,164,133,31,0,2,0,0,6,0,3,2,6,1,0,2,0,4,OK
160,14.576,177,1269,754,177,577,0,9,0,2,34,1,0,0,5,2,0,2,0,14,OK
161,6.0425,108,671,372,108,264,0,0,0,1,34,1,0,0,7,2,0,2,0,2,OK
162,3.5932,117,415,249,117,132,0,0,0,5,10,2,1,0,3,0,0,2,0,9,OK
163,3.0462,133,443,139,133,6,0,1,0,3,4,2,2,6,12,6,0,6,0,3,OK
164,4.4054,125,509,125,125,0,0,0,0,5,14,0,2,0,12,3,0,8,0,0,OK
165,2.7922,121,403,123,121,2,0,0,0,5,0,4,2,5,4,12,0,6,0,2,OK
166,6.1353,137,735,339,137,202,0,5,0,2,6,2,1,1,5,1,0,5,0,44,OK
167,6.9029,158,694,277,158,119,0,5,0,7,8,4,1,0,4,1,0,3,0,8,OK
168,2.8403,111,410,116,111,5,0,0,0,1,0,0,2,0,5,0,0,2,0,6,OK
169,14.4855,111,1278,1042,111,931,0,0,0,6,31,3,0,2,4,2,0,2,0,38,OK
170,17.8907,113,1523,1166,113,1053,0,3,0,2,8,2,1,2,21,1,0,2,0,16,OK
171,2.5277,112,354,112,112,0,0,0,0,3,7,1,0,0,8,2,0,2,0,19,OK
172,2.6118,114,375,114,114,0,0,0,0,1,6,1,2,0,16,0,0,4,0,33,OK
173,40.2763,211,2423,1658,277,1447,0,46,0,2,85,2,0,1,1,33,0,2,0,9,OK
174,2.7113,120,364,120,120,0,0,0,0,6,6,1,1,1,1,0,0,2,0,2,OK
175,3.5305,131,445,131,131,0,0,0,0,1,12,3,3,6,5,4,0,6,0,17,OK
176,4.8089,126,439,140,126,14,0,1,0,5,12,2,0,0,3,0,0,2,0,6,OK
177,2.4485,99,436,99,99,0,0,0,0,4,8,0,2,0,3,6,0,3,0,14,OK
178,954.3588,174,48089,47494,265,47259,1,126,1,5,4653,36,7,57,13,3643,0,4,0,1778,OK
179,2.8382,119,447,119,119,0,0,0,0,5,4,1,0,2,7,0,0,4,0,6,OK
180,2.5255,103,380,103,103,0,0,0,0,0,5,1,3,0,13,1,0,6,0,31,OK
181,4.6584,113,544,221,113,108,0,0,0,1,0,6,0,1,2,3,0,8,0,40,OK
182,2.3252,116,441,127,116,11,0,0,0,5,1,0,4,0,13,5,0,6,0,39,OK
183,3.3776,135,503,138,135,3,0,0,0,1,2,3,3,5,6,5,0,8,0,9,OK
184,8.2591,117,809,536,117,419,0,0,0,3,1,3,2,0,2,6,0,2,0,21,OK
185,2.5179,97,385,97,97,0,0,0,0,0,3,2,4,0,9,5,0,4,0,2,OK
186,2.4158,124,363,124,124,0,0,1,0,7,1,5,1,0,18,1,0,2,0,19,OK
187,16.3779,124,1395,1022,124,898,0,5,0,6,20,9,2,2,11,11,0,2,0,35,OK
188,6.4646,114,672,240,114,126,0,0,0,2,2,0,2,0,11,3,0,2,0,19,OK
189,1.5938,106,305,106,106,0,0,0,0,4,6,1,2,0,17,1,0,5,0,0,OK
190,3.7077,112,442,193,112,81,0,0,0,4,3,1,1,1,19,0,0,2,0,2,OK
191,3.2865,124,455,124,124,0,0,0,0,7,8,1,2,1,8,5,0,4,0,13,OK
192,2.4737,120,373,120,120,0,0,0,0,2,3,3,1,0,0,4,0,2,0,2,OK
193,8.8671,194,954,437,194,243,0,9,0,1,47,6,1,1,3,1,0,4,0,3,OK
194,440.5039,145,25447,22797,1006,21647,0,161,0,82,786,45,3,123,24,1792,1,6,0,369,OK
